node_id,x_coord,y_coord,zone_id,geometry
46608,-99.564293,43.850071,,POINT (-99.564293 43.850071)
46609,-99.558672,43.848191,,POINT (-99.558672 43.848191)
46610,-99.400672,43.801878,,POINT (-99.400672 43.801878)
46611,-99.394928,43.801029,,POINT (-99.394928 43.801029)
46612,-99.38924,43.800371,,POINT (-99.38924 43.800371)
46613,-99.355591,43.803127,,POINT (-99.355591 43.803127)
46614,-99.317497,43.772681,,POINT (-99.317497 43.772681)
46615,-99.312157,43.77084,,POINT (-99.312157 43.77084)
46616,-99.306296,43.76879,,POINT (-99.306296 43.76879)
46617,-99.188159,43.753031,,POINT (-99.188159 43.753031)
46618,-99.182587,43.75333,,POINT (-99.182587 43.75333)
46619,-99.175947,43.752856,,POINT (-99.175947 43.752856)
46620,-99.343826,43.79546,,POINT (-99.343826 43.79546)
46621,-99.340161,43.792883,,POINT (-99.340161 43.792883)
46622,-99.346304,43.797089,,POINT (-99.346304 43.797089)
46623,-98.965121,43.738188,,POINT (-98.965121 43.738188)
46624,-98.958008,43.738239,,POINT (-98.958008 43.738239)
45409,-94.617828,36.996536,,POINT (-94.617828 36.996536)
45410,-94.612137,36.998131,,POINT (-94.612137 36.998131)
45411,-94.606357,36.999424,,POINT (-94.606357 36.999424)
45412,-94.570023,37.005619,,POINT (-94.570023 37.005619)
34067,-94.554085,37.008501,,POINT (-94.554085 37.008501)
34068,-94.546722,37.01041,,POINT (-94.546722 37.01041)
34069,-94.540497,37.014021,,POINT (-94.540497 37.014021)
34070,-94.519807,37.032839,,POINT (-94.519807 37.032839)
34071,-94.51442,37.036301,,POINT (-94.51442 37.036301)
34072,-94.508924,37.039636,,POINT (-94.508924 37.039636)
34073,-94.482017,37.046,,POINT (-94.482017 37.046)
34074,-94.478241,37.04628,,POINT (-94.478241 37.04628)
34075,-94.474424,37.046377,,POINT (-94.474424 37.046377)
34076,-94.446007,37.054642,,POINT (-94.446007 37.054642)
34077,-94.433488,37.058723,,POINT (-94.433488 37.058723)
34078,-94.427887,37.060661,,POINT (-94.427887 37.060661)
34079,-94.422646,37.062511,,POINT (-94.422646 37.062511)
34080,-94.376566,37.078384,,POINT (-94.376566 37.078384)
34081,-94.370467,37.080519,,POINT (-94.370467 37.080519)
34082,-93.871955,33.54991,,POINT (-93.871955 33.54991)
34083,-93.812996,33.605648,,POINT (-93.812996 33.605648)
34084,-93.804711,33.608081,,POINT (-93.804711 33.608081)
34085,-93.799217,33.61034,,POINT (-93.799217 33.61034)
