node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
20404,,-112.117561,33.571065,,,0,0.100000,0.100000,"POINT (-112.117561 33.571065)"
20442,,-112.117817,33.568247,,,0,0.100000,0.100000,"POINT (-112.117817 33.568247)"
20430,,-112.112318,33.574017,,,0,0.100000,0.100000,"POINT (-112.112318 33.574017)"
20474,,-112.111000,33.567477,,,0,0.100000,0.100000,"POINT (-112.111000 33.567477)"
20434,,-112.119318,33.567516,,,0,0.100000,0.100000,"POINT (-112.119318 33.567516)"
20436,,-112.116807,33.566808,,,0,0.100000,0.100000,"POINT (-112.116807 33.566808)"
20437,,-112.117709,33.566939,,,0,0.100000,0.100000,"POINT (-112.117709 33.566939)"
20438,,-112.117202,33.565134,,,0,0.100000,0.100000,"POINT (-112.117202 33.565134)"
20439,,-112.119774,33.567510,,,0,0.100000,0.100000,"POINT (-112.119774 33.567510)"
20440,,-112.116714,33.563804,,,0,0.100000,0.100000,"POINT (-112.116714 33.563804)"
20441,,-112.116852,33.568686,,,0,0.100000,0.100000,"POINT (-112.116852 33.568686)"
20443,,-112.117319,33.567454,,,0,0.100000,0.100000,"POINT (-112.117319 33.567454)"
20444,,-112.117339,33.567652,,,0,0.100000,0.100000,"POINT (-112.117339 33.567652)"
20445,,-112.118158,33.567646,,,0,0.100000,0.100000,"POINT (-112.118158 33.567646)"
20446,,-112.118825,33.567451,,,0,0.100000,0.100000,"POINT (-112.118825 33.567451)"
20447,,-112.117772,33.567703,,,0,0.100000,0.100000,"POINT (-112.117772 33.567703)"
20448,,-112.118928,33.567525,,,0,0.100000,0.100000,"POINT (-112.118928 33.567525)"
20449,,-112.116858,33.568195,,,0,0.100000,0.100000,"POINT (-112.116858 33.568195)"
20450,,-112.116829,33.567415,,,0,0.100000,0.100000,"POINT (-112.116829 33.567415)"
20451,,-112.117430,33.579806,,,0,0.100000,0.100000,"POINT (-112.117430 33.579806)"
20388,,-112.116568,33.579218,,,0,0.100000,0.100000,"POINT (-112.116568 33.579218)"
20452,,-112.121517,33.581953,,,0,0.100000,0.100000,"POINT (-112.121517 33.581953)"
20453,,-112.116903,33.580326,,,0,0.100000,0.100000,"POINT (-112.116903 33.580326)"
20454,,-112.117054,33.580332,,,0,0.100000,0.100000,"POINT (-112.117054 33.580332)"
20486,,-112.117389,33.577715,,,0,0.100000,0.100000,"POINT (-112.117389 33.577715)"
20455,,-112.117174,33.574753,,,0,0.100000,0.100000,"POINT (-112.117174 33.574753)"
20456,,-112.116855,33.574758,,,0,0.100000,0.100000,"POINT (-112.116855 33.574758)"
20403,,-112.117403,33.574790,,,0,0.100000,0.100000,"POINT (-112.117403 33.574790)"
20457,,-112.117486,33.583081,,,0,0.100000,0.100000,"POINT (-112.117486 33.583081)"
20458,,-112.118663,33.581961,,,0,0.100000,0.100000,"POINT (-112.118663 33.581961)"
20459,,-112.116393,33.582377,,,0,0.100000,0.100000,"POINT (-112.116393 33.582377)"
20460,,-112.117561,33.581751,,,0,0.100000,0.100000,"POINT (-112.117561 33.581751)"
20389,,-112.116481,33.580565,,,0,0.100000,0.100000,"POINT (-112.116481 33.580565)"
20461,,-112.116666,33.582051,,,0,0.100000,0.100000,"POINT (-112.116666 33.582051)"
