name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
,64,23811122,712,1522,1,107.514616,2,72.0,,motorway,1,"LINESTRING (-112.0320498 33.6716541, -112.0314901 33.6718419, -112.0313388 33.6719391, -112.0311947 33.6720514, -112.0310962 33.6721665)",auto,0,1,,
,65,23811122,1522,90103,1,14.50989699,2,72.0,,motorway,1,"LINESTRING (-112.0310962 33.6721665, -112.0310324 33.6722857)",auto,0,1,,
,66,23811125,1520,90103,1,27.13828232,2,72.0,,motorway,1,"LINESTRING (-112.030899 33.6720015, -112.030994 33.6722324)",auto,0,1,,
,68,23811125,90103,1527,1,8.303785774,2,72.0,,motorway,1,"LINESTRING (-112.0310324 33.6722857, -112.0310919 33.6723416)",auto,0,1,,
,69,23811125,1527,713,1,69.48740948,2,72.0,,motorway,1,"LINESTRING (-112.0310919 33.6723416, -112.0311652 33.6724026, -112.0312119 33.6724268, -112.0313597 33.6724836, -112.03144 33.6725066, -112.0317842 33.6725187)",auto,0,1,,
,70,23811128,513,3570,1,315.2778631,1,,,motorway,1,"LINESTRING (-112.0584324 33.6692061, -112.0598963 33.6692787, -112.0618348 33.6693494)",auto,0,1,,
,71,23811132,707,3568,1,116.7771451,2,,,motorway,1,"LINESTRING (-112.0641401 33.6684274, -112.0636795 33.6685209, -112.0630837 33.6686044, -112.062902 33.6686262)",auto,0,1,,
,72,23811133,717,3572,1,155.1455582,2,,,motorway,1,"LINESTRING (-112.0681481 33.6693843, -112.0686806 33.6692989, -112.0698109 33.6692208)",auto,0,1,,
,73,23811135,720,829,1,249.245857,1,,,motorway,1,"LINESTRING (-112.0735419 33.6687291, -112.0732927 33.6686777, -112.0715302 33.6686417, -112.07086 33.668586)",auto,0,1,,
,74,23811137,704,3575,1,147.2710437,2,,,motorway,1,"LINESTRING (-112.0814844 33.6681114, -112.0804995 33.6682631, -112.0799159 33.6683338)",auto,0,1,,
,75,23811140,515,3574,1,201.825241,1,,,motorway,1,"LINESTRING (-112.0766328 33.6689366, -112.0768602 33.6690061, -112.077976 33.6690418, -112.078797 33.6690759)",auto,0,1,,
,76,23811143,723,724,1,150.3236666,2,,,motorway,1,"LINESTRING (-112.084263 33.6691702, -112.0853317 33.6691275, -112.0858853 33.669153)",auto,0,1,,
,77,23811153,726,727,1,395.9323811,1,,,motorway,1,"LINESTRING (-112.0897502 33.6691673, -112.0895362 33.6690561, -112.0886276 33.6689203, -112.0872458 33.668706, -112.0855801 33.6684344)",auto,0,1,,
,78,23811162,728,729,1,450.0155861,1,,,motorway,1,"LINESTRING (-112.0927112 33.6696934, -112.0929729 33.6697833, -112.0932701 33.6698064, -112.0941863 33.6698785, -112.0960241 33.6700167, -112.0966727 33.6700393, -112.0970189 33.6700463, -112.0973341 33.6700461, -112.0975391 33.6700459)",auto,0,1,,
,79,23811164,701,731,1,134.4975191,2,,,motorway,1,"LINESTRING (-112.0980609 33.6691524, -112.0980056 33.6691667, -112.0979455 33.6691762, -112.0978838 33.6691814, -112.097304 33.6692271, -112.0969683 33.6692539, -112.0966169 33.6692784)",auto,0,1,,
,80,23811165,700,2007,1,92.31602352,2,,,motorway,1,"LINESTRING (-112.1137104 33.6679408, -112.113353 33.668077, -112.1130603 33.6681296, -112.1127648 33.6681925)",auto,0,1,,
,81,23811166,666,2009,1,255.6417003,2,72.0,,motorway,1,"LINESTRING (-112.1187711 33.6695744, -112.1190261 33.6694859, -112.1197241 33.6693918, -112.1209056 33.6692294, -112.1214815 33.6691621)",auto,0,1,,
,82,23811167,654,699,1,487.9258298,1,72.0,,motorway,1,"LINESTRING (-112.1238626 33.6684138, -112.1230182 33.6683362, -112.1226525 33.6683117, -112.1218987 33.668247, -112.1208406 33.6681593, -112.1189647 33.6679951, -112.1186295 33.6679154)",auto,0,1,,
,83,23811168,670,735,1,72.31658822,2,,,motorway,1,"LINESTRING (-112.1365353 33.6700088, -112.1367317 33.6699855, -112.1373147 33.6699928)",auto,0,1,,
,84,23811169,2012,739,1,310.2246555,1,,,motorway,1,"LINESTRING (-112.1407083 33.6694403, -112.1401868 33.6694433, -112.1400336 33.6694436, -112.1398894 33.6694386, -112.1396887 33.6694292, -112.1392642 33.66941, -112.1388958 33.6693939, -112.1386972 33.6693845, -112.1385048 33.6693741, -112.1383525 33.6693627, -112.1382188 33.6693494, -112.1380608 33.669332, -112.1379388 33.6693153, -112.1378263 33.6692984, -112.1377235 33.6692807, -112.1375792 33.6692531, -112.1374546 33.6692276, -112.1373769 33.6692111)",auto,0,1,,
,85,23811170,4,740,1,249.1735318,1,,,motorway,1,"LINESTRING (-112.1624334 33.6695704, -112.163354 33.6695285, -112.1636243 33.6694928, -112.1638228 33.6694668, -112.1640594 33.6694409, -112.164317 33.6694146, -112.1651099 33.6693413)",auto,0,1,,
,86,23811171,3253,637,1,372.4879119,1,,,motorway,1,"LINESTRING (-112.1651839 33.6686889, -112.1643131 33.6688918, -112.1637972 33.6690003, -112.1634001 33.6690712, -112.162648 33.6691704, -112.1619011 33.6692374, -112.1612416 33.6693348)",auto,0,1,,
,87,23811172,3255,2,1,385.8743351,1,,,motorway,1,"LINESTRING (-112.1733217 33.6687101, -112.1741563 33.6686438, -112.175108 33.668584, -112.1761336 33.6685355, -112.1770213 33.6685261, -112.1774773 33.6684651)",auto,0,1,,
,88,23811173,742,743,1,462.4486329,1,,,motorway,1,"LINESTRING (-112.1774817 33.6682407, -112.1770213 33.6681789, -112.1761232 33.6681835, -112.1750992 33.6681329, -112.1741684 33.6680794, -112.1724987 33.6679818)",auto,0,1,,
,89,23811174,448,3594,1,519.2343919,1,,,motorway,1,"LINESTRING (-112.178895 33.6684605, -112.1791857 33.6685205, -112.180263 33.6685193, -112.1810474 33.668511, -112.1823349 33.6685683, -112.1829839 33.6686099, -112.1844885 33.668708)",auto,0,1,,
,90,23811176,2018,635,1,384.1960656,1,,,motorway,1,"LINESTRING (-112.1830334 33.6679799, -112.1825845 33.6680375, -112.181043 33.668152, -112.180256 33.6681595, -112.1791812 33.66817, -112.1789042 33.6682349)",auto,0,1,,
,91,23811179,676,1365,1,91.2122248,2,,,motorway,1,"LINESTRING (-112.1874812 33.6687405, -112.1878797 33.6687044, -112.1884624 33.6686635)",auto,0,1,,
,92,23811181,634,3560,1,427.9916269,1,,,motorway,1,"LINESTRING (-112.1940721 33.6681579, -112.1932978 33.6680992, -112.1928083 33.6680911, -112.1925923 33.6680875, -112.1923293 33.6680663, -112.1917193 33.6680171, -112.1912193 33.6679692, -112.1908402 33.6679221, -112.1897427 33.6677518, -112.1894851 33.6677143)",auto,0,1,,
,93,23811182,454,3562,1,436.8709497,1,,,motorway,1,"LINESTRING (-112.1957156 33.6683821, -112.1973884 33.6684049, -112.198294 33.6684182, -112.199508 33.6684707, -112.2004329 33.6685135)",auto,0,1,,
,94,23811184,682,1776,1,107.5801575,2,,,motorway,1,"LINESTRING (-112.2023587 33.667434, -112.2012093 33.6675787)",auto,0,1,,
,95,23811186,3252,379,1,460.7390632,1,,,motorway,1,"LINESTRING (-112.2052936 33.6682826, -112.2062222 33.6681589, -112.207175 33.6680518, -112.208851 33.6679272, -112.2102378 33.6678088)",auto,0,1,,
,96,23811187,745,746,1,430.0111611,1,,,motorway,1,"LINESTRING (-112.2101533 33.6675875, -112.2086598 33.6675375, -112.2080011 33.6675283, -112.2075584 33.6675168, -112.2065741 33.6674875, -112.2055133 33.6674069)",auto,0,1,,
North Black Canyon Highway,97,28271042,459,3483,1,144.1947413,2,,,secondary,4,"LINESTRING (-112.1134026 33.6909692, -112.1133292 33.6904464, -112.1132546 33.689835, -112.1132385 33.6896797)",auto,0,0,,
North Black Canyon Highway,98,28271045,463,747,1,34.10742575,2,,,secondary,4,"LINESTRING (-112.1121395 33.6765759, -112.1121304 33.6766594, -112.1121126 33.6768818)",auto,0,0,,
,99,28271115,456,1721,1,45.22431557,2,72.0,,motorway,1,"LINESTRING (-112.1134711 33.6764404, -112.113479 33.6763673, -112.1135013 33.6760345)",auto,0,1,,
,100,28271115,1721,3277,1,85.57332204,2,72.0,,motorway,1,"LINESTRING (-112.1135013 33.6760345, -112.1135555 33.6754944, -112.1135811 33.6752678)",auto,0,1,,
North Black Canyon Highway,102,28271144,90066,1255,1,39.33340399,2,72.0,,secondary,4,"LINESTRING (-112.1145865 33.661875, -112.1145836 33.6617883, -112.114584 33.6615213)",auto,0,0,,
,103,28271164,90065,3457,1,22.18349073,1,72.0,,motorway,1,"LINESTRING (-112.1132647 33.662017, -112.1132647 33.6620817, -112.1132653 33.6622165)",auto,0,1,,
,104,28271164,3457,462,1,159.6120955,1,72.0,,motorway,1,"LINESTRING (-112.1132653 33.6622165, -112.1132656 33.6629618, -112.1132728 33.6636519)",auto,0,1,,
Black Canyon Freeway,105,28492177,753,754,1,76.95801095,6,104.0,,motorway,1,"LINESTRING (-112.1125901 33.6841393, -112.1125899 33.6834472)",auto,0,0,,
Black Canyon Freeway,106,28492192,1283,751,1,402.8528819,5,104.0,,motorway,1,"LINESTRING (-112.1122901 33.6849771, -112.1123481 33.6864534, -112.112379 33.6872962, -112.1124979 33.6885951)",auto,0,0,,
