,long,lat,order,piece,linkid,group,citycode
89822,-2.217975,53.47618000000001,3,1,92,92.1,manchester
89823,-2.218053,53.476153000000004,4,1,92,92.1,manchester
89824,-2.2181599999999997,53.476107999999996,5,1,92,92.1,manchester
89825,-2.2172389999999997,53.475364,1,1,93,93.1,manchester
89826,-2.216407,53.475328000000005,2,1,93,93.1,manchester
89827,-2.214416,53.475235,3,1,93,93.1,manchester
89828,-2.214043,53.475159999999995,1,1,94,94.1,manchester
89829,-2.2144209999999998,53.475179000000004,2,1,94,94.1,manchester
89830,-2.216111,53.475203,3,1,94,94.1,manchester
89831,-2.216392,53.475227000000004,4,1,94,94.1,manchester
89832,-2.216392,53.475227000000004,1,1,95,95.1,manchester
89833,-2.217109,53.475249,2,1,95,95.1,manchester
89834,-2.219071,53.475368,3,1,95,95.1,manchester
89835,-2.2191110000000003,53.475434,1,1,96,96.1,manchester
89836,-2.21904,53.47543100000001,2,1,96,96.1,manchester
89837,-2.2172389999999997,53.475364,3,1,96,96.1,manchester
89838,-2.215747,53.471024,1,1,97,97.1,manchester
89839,-2.215796,53.471387,2,1,97,97.1,manchester
89840,-2.215871,53.471603,3,1,97,97.1,manchester
89841,-2.216087,53.472007,4,1,97,97.1,manchester
89842,-2.2162450000000002,53.47251800000001,5,1,97,97.1,manchester
89843,-2.216308,53.472865000000006,6,1,97,97.1,manchester
89844,-2.2164349999999997,53.473907,7,1,97,97.1,manchester
89845,-2.216528,53.474343999999995,8,1,97,97.1,manchester
89846,-2.2167,53.475051,9,1,97,97.1,manchester
89847,-2.216871,53.475264,10,1,97,97.1,manchester
89848,-2.2089119999999998,53.474887,1,1,98,98.1,manchester
89849,-2.210666,53.474978,2,1,98,98.1,manchester
89850,-2.211817,53.475030000000004,3,1,98,98.1,manchester
89851,-2.214043,53.475159999999995,4,1,98,98.1,manchester
89852,-2.219738,53.475333,1,1,99,99.1,manchester
89853,-2.219535,53.475492,2,1,99,99.1,manchester
89854,-2.219442,53.475556000000005,3,1,99,99.1,manchester
89855,-2.218882,53.475913,4,1,99,99.1,manchester
89856,-2.2182,53.476185,5,1,99,99.1,manchester
89857,-2.218082,53.476243999999994,6,1,99,99.1,manchester
89858,-2.228095,53.476218,1,1,100,100.1,manchester
89859,-2.226915,53.476113,2,1,100,100.1,manchester
89860,-2.225472,53.47599,3,1,100,100.1,manchester
89861,-2.222859,53.475749,4,1,100,100.1,manchester
89862,-2.221223,53.475605,5,1,100,100.1,manchester
89863,-2.220259,53.475522,6,1,100,100.1,manchester
