corridor_id,agent_id,date,utd,trace_id,hh,mm,ss,y_coord,x_coord
Miller Street,56,,89669,3,,None,,53.487662,-2.23972
Miller Street,57,,89670,0,,None,,53.48716500000001,-2.238604
Miller Street,57,,89671,1,,None,,53.487187,-2.23868
Miller Street,57,,89672,2,,None,,53.487532,-2.239569
Miller Street,57,,89673,3,,None,,53.487634,-2.239746
Swan Street,58,,89674,0,,None,,53.486427,-2.236238
Swan Street,58,,89675,1,,None,,53.486458,-2.2362900000000003
Swan Street,58,,89676,2,,None,,53.48713299999999,-2.238448
Shudehill,59,,89677,0,,None,,53.486172,-2.235938
Shudehill,59,,89678,1,,None,,53.486068,-2.23616
Shudehill,59,,89679,2,,None,,53.485717,-2.236925
Shudehill,60,,89680,0,,None,,53.485664,-2.237166
Shudehill,60,,89681,1,,None,,53.485708,-2.23706
Shudehill,60,,89682,2,,None,,53.486063,-2.236321
Shudehill,60,,89683,3,,None,,53.486148,-2.236198
Hanover Street,61,,89684,0,,None,,53.486683,-2.240471
Hanover Street,61,,89685,1,,None,,53.48625799999999,-2.239199
Hanover Street,61,,89686,2,,None,,53.485835,-2.237871
Hanover Street,61,,89687,3,,None,,53.48571800000001,-2.23751
Shudehill,62,,89688,0,,None,,53.484988,-2.238486
Shudehill,62,,89689,1,,None,,53.485155000000006,-2.23815
Shudehill,62,,89690,2,,None,,53.485546,-2.237346
Victoria Street,63,,89691,0,,None,,53.486887,-2.244794
Victoria Street,63,,89692,1,,None,,53.487075,-2.244842
Victoria Street,63,,89693,2,,None,,53.488288,-2.245674
Long Millgate,64,,89694,0,,None,,53.48731899999999,-2.240546
Long Millgate,64,,89695,1,,None,,53.487347,-2.24053
Long Millgate,64,,89696,2,,None,,53.487738,-2.24032
Oldham Road,65,,89697,0,,None,,53.48505600000001,-2.232644
Oldham Road,65,,89698,1,,None,,53.485079000000006,-2.2326200000000003
Oldham Road,65,,89699,2,,None,,53.485323,-2.232097
Oldham Road,66,,89700,0,,None,,53.485237,-2.231933
Oldham Road,66,,89701,1,,None,,53.485202,-2.232019
Oldham Road,66,,89702,2,,None,,53.484975,-2.232504
Oldham Road,67,,89703,0,,None,,53.4852,-2.231877
Oldham Road,67,,89704,1,,None,,53.485158,-2.231986
Oldham Road,67,,89705,2,,None,,53.484922,-2.232491
Swan Street,68,,89706,0,,None,,53.484838,-2.232928
Swan Street,68,,89707,1,,None,,53.484848,-2.233071
Swan Street,68,,89708,2,,None,,53.486188,-2.235734
Great Ancoats Street,69,,89709,0,,None,,53.484922,-2.232491
Great Ancoats Street,69,,89710,1,,None,,53.484818,-2.232647
Great Ancoats Street,69,,89711,2,,None,,53.484704,-2.232577
Great Ancoats Street,69,,89712,3,,None,,53.484271,-2.231732
Great Ancoats Street,70,,89713,0,,None,,53.484191,-2.231869
Great Ancoats Street,70,,89714,1,,None,,53.484212,-2.231922
Great Ancoats Street,70,,89715,2,,None,,53.4846,-2.232625
Great Ancoats Street,71,,89716,0,,None,,53.484271,-2.231732
Great Ancoats Street,71,,89717,1,,None,,53.484108,-2.231461
Great Ancoats Street,71,,89718,2,,None,,53.483748,-2.230702
Great Ancoats Street,72,,89719,0,,None,,53.483601,-2.2307240000000004
Great Ancoats Street,72,,89720,1,,None,,53.483623,-2.230785
Great Ancoats Street,72,,89721,2,,None,,53.484191,-2.231869
Great Ancoats Street,73,,89722,0,,None,,53.483448,-2.230184
Great Ancoats Street,73,,89723,1,,None,,53.483429,-2.230164
Great Ancoats Street,73,,89724,2,,None,,53.482723,-2.2288650000000003
Great Ancoats Street,74,,89725,0,,None,,53.482668,-2.229038
Great Ancoats Street,74,,89726,1,,None,,53.482748,-2.229181
Great Ancoats Street,74,,89727,2,,None,,53.483388,-2.230251
Great Ancoats Street,75,,89728,0,,None,,53.482723,-2.2288650000000003
Great Ancoats Street,75,,89729,1,,None,,53.482671,-2.2287790000000003
Great Ancoats Street,75,,89730,2,,None,,53.482298,-2.228151
Great Ancoats Street,76,,89731,0,,None,,53.482298,-2.228151
Great Ancoats Street,76,,89732,1,,None,,53.482223,-2.228022
Great Ancoats Street,76,,89733,2,,None,,53.481939,-2.2275240000000003
Great Ancoats Street,76,,89734,3,,None,,53.481697,-2.226909
Great Ancoats Street,77,,89735,0,,None,,53.482161,-2.2281
Great Ancoats Street,77,,89736,1,,None,,53.48220600000001,-2.2281880000000003
Great Ancoats Street,77,,89737,2,,None,,53.482582,-2.228859
Great Ancoats Street,77,,89738,3,,None,,53.482668,-2.229038
Great Ancoats Street,78,,89739,0,,None,,53.481436,-2.2265900000000003
Great Ancoats Street,78,,89740,1,,None,,53.481566,-2.226992
Great Ancoats Street,78,,89741,2,,None,,53.481603,-2.2271
Great Ancoats Street,78,,89742,3,,None,,53.482161,-2.2281
Great Ancoats Street,79,,89743,0,,None,,53.481697,-2.226909
Great Ancoats Street,79,,89744,1,,None,,53.481508,-2.226467
Great Ancoats Street,79,,89745,2,,None,,53.481448,-2.226255
Great Ancoats Street,79,,89746,3,,None,,53.48129399999999,-2.225756
Great Ancoats Street,79,,89747,4,,None,,53.48114399999999,-2.225284
Great Ancoats Street,79,,89748,5,,None,,53.480916,-2.224774
Great Ancoats Street,80,,89749,0,,None,,53.480573,-2.224396
Great Ancoats Street,80,,89750,1,,None,,53.48078,-2.224777
Great Ancoats Street,80,,89751,2,,None,,53.480833,-2.224874
Great Ancoats Street,80,,89752,3,,None,,53.481211,-2.225971
Great Ancoats Street,80,,89753,4,,None,,53.481436,-2.2265900000000003
Great Ancoats Street,81,,89754,0,,None,,53.480916,-2.224774
Great Ancoats Street,81,,89755,1,,None,,53.480658,-2.224332
Great Ancoats Street,81,,89756,2,,None,,53.480597,-2.2242
Great Ancoats Street,81,,89757,3,,None,,53.48007,-2.223557
Great Ancoats Street,81,,89758,4,,None,,53.479636,-2.2228380000000003
Great Ancoats Street,82,,89759,0,,None,,53.479328,-2.222545
Great Ancoats Street,82,,89760,1,,None,,53.479598,-2.222988
Great Ancoats Street,82,,89761,2,,None,,53.479963,-2.223648
Great Ancoats Street,82,,89762,3,,None,,53.480573,-2.224396
Great Ancoats Street,83,,89763,0,,None,,53.479114,-2.221931
Great Ancoats Street,83,,89764,1,,None,,53.478911,-2.221549
Great Ancoats Street,83,,89765,2,,None,,53.478527,-2.220917
Great Ancoats Street,83,,89766,3,,None,,53.478378,-2.220475
Great Ancoats Street,83,,89767,4,,None,,53.478295,-2.21992
Great Ancoats Street,83,,89768,5,,None,,53.478183,-2.219016
Mancunian Way,84,,89769,0,,None,,53.478107,-2.219268
Mancunian Way,84,,89770,1,,None,,53.478116,-2.219343
Mancunian Way,84,,89771,2,,None,,53.478273,-2.220346
Mancunian Way,84,,89772,3,,None,,53.478391,-2.220791
Mancunian Way,84,,89773,4,,None,,53.478811,-2.221612
Mancunian Way,85,,89774,0,,None,,53.478196,-2.219
Mancunian Way,85,,89775,1,,None,,53.478182,-2.218857
Mancunian Way,85,,89776,2,,None,,53.47814200000001,-2.218613
Mancunian Way,85,,89777,3,,None,,53.477956000000006,-2.21821
Mancunian Way,85,,89778,4,,None,,53.477783,-2.218037
Mancunian Way,85,,89779,5,,None,,53.47750500000001,-2.217894
Mancunian Way,85,,89780,6,,None,,53.477087,-2.217825
Mancunian Way,85,,89781,7,,None,,53.476686,-2.217768
Mancunian Way,85,,89782,8,,None,,53.47658199999999,-2.2177580000000003
Mancunian Way,86,,89783,0,,None,,53.478169,-2.219008
Mancunian Way,86,,89784,1,,None,,53.478113,-2.218651
Mancunian Way,86,,89785,2,,None,,53.477939,-2.21825
Mancunian Way,86,,89786,3,,None,,53.47776500000001,-2.2180880000000003
Mancunian Way,86,,89787,4,,None,,53.47744599999999,-2.21794
Mancunian Way,86,,89788,5,,None,,53.476999,-2.217849
Mancunian Way,86,,89789,6,,None,,53.476579,-2.217827
Mancunian Way,87,,89790,0,,None,,53.476244,-2.218082
Mancunian Way,87,,89791,1,,None,,53.476386,-2.21797
Mancunian Way,87,,89792,2,,None,,53.47658199999999,-2.217946
Mancunian Way,87,,89793,3,,None,,53.477141,-2.2180470000000003
Mancunian Way,87,,89794,4,,None,,53.47756999999999,-2.218195
Mancunian Way,87,,89795,5,,None,,53.477812,-2.21833
Mancunian Way,87,,89796,6,,None,,53.477941,-2.218564
Mancunian Way,88,,89797,0,,None,,53.477151,-2.218053
Mancunian Way,88,,89798,1,,None,,53.477359,-2.218058
Mancunian Way,88,,89799,2,,None,,53.477558,-2.21807
Mancunian Way,88,,89800,3,,None,,53.47787,-2.218259
Mancunian Way,88,,89801,4,,None,,53.478003,-2.218506
Mancunian Way,88,,89802,5,,None,,53.478067,-2.218605
Mancunian Way,88,,89803,6,,None,,53.478179,-2.218621
Mancunian Way,88,,89804,7,,None,,53.478239,-2.21857
Every Street,89,,89805,0,,None,,53.478239,-2.21857
Every Street,89,,89806,1,,None,,53.478271,-2.218522
Every Street,89,,89807,2,,None,,53.478646,-2.217962
Every Street,90,,89808,0,,None,,53.478621,-2.217902
Every Street,90,,89809,1,,None,,53.478614,-2.217909
Every Street,90,,89810,2,,None,,53.478202,-2.218468
Pin Mill Brow,91,,89811,0,,None,,53.476305,-2.217626
Pin Mill Brow,91,,89812,1,,None,,53.476238,-2.217594
Pin Mill Brow,91,,89813,2,,None,,53.476019,-2.217465
Pin Mill Brow,91,,89814,3,,None,,53.47550500000001,-2.216926
Pin Mill Brow,92,,89815,0,,None,,53.475264,-2.216871
Pin Mill Brow,92,,89816,1,,None,,53.475497,-2.217083
Pin Mill Brow,92,,89817,2,,None,,53.475667,-2.217318
Pin Mill Brow,92,,89818,3,,None,,53.475963,-2.217628
Pin Mill Brow,92,,89819,4,,None,,53.47617,-2.217767
Mancunian Way,93,,89820,0,,None,,53.476579,-2.217827
Mancunian Way,93,,89821,1,,None,,53.476324,-2.21783
Mancunian Way,93,,89822,2,,None,,53.47618000000001,-2.217975
Mancunian Way,93,,89823,3,,None,,53.476153,-2.218053
Mancunian Way,93,,89824,4,,None,,53.476108,-2.21816
Ashton Old Road,94,,89825,0,,None,,53.475364,-2.217239
Ashton Old Road,94,,89826,1,,None,,53.47532800000001,-2.216407
Ashton Old Road,94,,89827,2,,None,,53.475235,-2.214416
Ashton Old Road,95,,89828,0,,None,,53.47516,-2.214043
Ashton Old Road,95,,89829,1,,None,,53.475179,-2.214421
Ashton Old Road,95,,89830,2,,None,,53.475203,-2.216111
