,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode
283,89681,-2.23706,53.485708,2,1,59,59.1,manchester
284,89682,-2.236321,53.486063,3,1,59,59.1,manchester
285,89683,-2.236198,53.486148,4,1,59,59.1,manchester
286,89684,-2.240471,53.486683,1,1,60,60.1,manchester
287,89685,-2.239199,53.48625799999999,2,1,60,60.1,manchester
288,89686,-2.237871,53.485835,3,1,60,60.1,manchester
289,89687,-2.23751,53.48571800000001,4,1,60,60.1,manchester
290,89688,-2.238486,53.484988,1,1,61,61.1,manchester
291,89689,-2.23815,53.485155000000006,2,1,61,61.1,manchester
292,89690,-2.237346,53.485546,3,1,61,61.1,manchester
293,89691,-2.244794,53.486887,1,1,62,62.1,manchester
294,89692,-2.244842,53.487075,2,1,62,62.1,manchester
295,89693,-2.245674,53.488288,3,1,62,62.1,manchester
296,89694,-2.240546,53.48731899999999,1,1,63,63.1,manchester
297,89695,-2.24053,53.487347,2,1,63,63.1,manchester
298,89696,-2.24032,53.487738,3,1,63,63.1,manchester
299,89697,-2.232644,53.48505600000001,1,1,64,64.1,manchester
300,89698,-2.2326200000000003,53.485079000000006,2,1,64,64.1,manchester
301,89699,-2.232097,53.485323,3,1,64,64.1,manchester
302,89700,-2.231933,53.485237,1,1,65,65.1,manchester
303,89701,-2.232019,53.485202,2,1,65,65.1,manchester
304,89702,-2.232504,53.484975,3,1,65,65.1,manchester
305,89703,-2.231877,53.4852,1,1,66,66.1,manchester
306,89704,-2.231986,53.485158,2,1,66,66.1,manchester
307,89705,-2.232491,53.484922,3,1,66,66.1,manchester
308,89706,-2.232928,53.484838,1,1,67,67.1,manchester
309,89707,-2.233071,53.484848,2,1,67,67.1,manchester
310,89708,-2.235734,53.486188,3,1,67,67.1,manchester
311,89709,-2.232491,53.484922,1,1,68,68.1,manchester
312,89710,-2.232647,53.484818,2,1,68,68.1,manchester
313,89711,-2.232577,53.484704,3,1,68,68.1,manchester
314,89712,-2.231732,53.484271,4,1,68,68.1,manchester
315,89713,-2.231869,53.484191,1,1,69,69.1,manchester
316,89714,-2.231922,53.484212,2,1,69,69.1,manchester
317,89715,-2.232625,53.4846,3,1,69,69.1,manchester
318,89716,-2.231732,53.484271,1,1,70,70.1,manchester
319,89717,-2.231461,53.484108,2,1,70,70.1,manchester
320,89718,-2.230702,53.483748,3,1,70,70.1,manchester
321,89719,-2.2307240000000004,53.483601,1,1,71,71.1,manchester
322,89720,-2.230785,53.483623,2,1,71,71.1,manchester
323,89721,-2.231869,53.484191,3,1,71,71.1,manchester
324,89722,-2.230184,53.483448,1,1,72,72.1,manchester
325,89723,-2.230164,53.483429,2,1,72,72.1,manchester
326,89724,-2.2288650000000003,53.482723,3,1,72,72.1,manchester
327,89725,-2.229038,53.482668,1,1,73,73.1,manchester
328,89726,-2.229181,53.482748,2,1,73,73.1,manchester
329,89727,-2.230251,53.483388,3,1,73,73.1,manchester
330,89728,-2.2288650000000003,53.482723,1,1,74,74.1,manchester
331,89729,-2.2287790000000003,53.482671,2,1,74,74.1,manchester
332,89730,-2.228151,53.482298,3,1,74,74.1,manchester
333,89731,-2.228151,53.482298,1,1,75,75.1,manchester
334,89732,-2.228022,53.482223,2,1,75,75.1,manchester
335,89733,-2.2275240000000003,53.481939,3,1,75,75.1,manchester
336,89734,-2.226909,53.481697,4,1,75,75.1,manchester
337,89735,-2.2281,53.482161,1,1,76,76.1,manchester
338,89736,-2.2281880000000003,53.48220600000001,2,1,76,76.1,manchester
339,89737,-2.228859,53.482582,3,1,76,76.1,manchester
340,89738,-2.229038,53.482668,4,1,76,76.1,manchester
341,89739,-2.2265900000000003,53.481436,1,1,77,77.1,manchester
342,89740,-2.226992,53.481566,2,1,77,77.1,manchester
343,89741,-2.2271,53.481603,3,1,77,77.1,manchester
344,89742,-2.2281,53.482161,4,1,77,77.1,manchester
345,89743,-2.226909,53.481697,1,1,78,78.1,manchester
346,89744,-2.226467,53.481508,2,1,78,78.1,manchester
347,89745,-2.226255,53.481448,3,1,78,78.1,manchester
348,89746,-2.225756,53.48129399999999,4,1,78,78.1,manchester
349,89747,-2.225284,53.48114399999999,5,1,78,78.1,manchester
350,89748,-2.224774,53.480916,6,1,78,78.1,manchester
351,89749,-2.224396,53.480573,1,1,79,79.1,manchester
352,89750,-2.224777,53.48078,2,1,79,79.1,manchester
353,89751,-2.224874,53.480833,3,1,79,79.1,manchester
354,89752,-2.225971,53.481211,4,1,79,79.1,manchester
355,89753,-2.2265900000000003,53.481436,5,1,79,79.1,manchester
356,89754,-2.224774,53.480916,1,1,80,80.1,manchester
357,89755,-2.224332,53.480658,2,1,80,80.1,manchester
358,89756,-2.2242,53.480597,3,1,80,80.1,manchester
359,89757,-2.223557,53.48007,4,1,80,80.1,manchester
360,89758,-2.2228380000000003,53.479636,5,1,80,80.1,manchester
361,89759,-2.222545,53.479328,1,1,81,81.1,manchester
362,89760,-2.222988,53.479598,2,1,81,81.1,manchester
363,89761,-2.223648,53.479963,3,1,81,81.1,manchester
364,89762,-2.224396,53.480573,4,1,81,81.1,manchester
365,89763,-2.221931,53.479114,1,1,82,82.1,manchester
366,89764,-2.221549,53.478911,2,1,82,82.1,manchester
367,89765,-2.220917,53.478527,3,1,82,82.1,manchester
368,89766,-2.220475,53.478378,4,1,82,82.1,manchester
369,89767,-2.21992,53.478295,5,1,82,82.1,manchester
370,89768,-2.219016,53.478183,6,1,82,82.1,manchester
371,89769,-2.219268,53.478107,1,1,83,83.1,manchester
372,89770,-2.219343,53.478116,2,1,83,83.1,manchester
373,89771,-2.220346,53.478273,3,1,83,83.1,manchester
374,89772,-2.220791,53.478391,4,1,83,83.1,manchester
375,89773,-2.221612,53.478811,5,1,83,83.1,manchester
376,89774,-2.219,53.478196,1,1,84,84.1,manchester
377,89775,-2.218857,53.478182,2,1,84,84.1,manchester
378,89776,-2.218613,53.47814200000001,3,1,84,84.1,manchester
379,89777,-2.21821,53.477956000000006,4,1,84,84.1,manchester
380,89778,-2.218037,53.477783,5,1,84,84.1,manchester
381,89779,-2.217894,53.47750500000001,6,1,84,84.1,manchester
382,89780,-2.217825,53.477087,7,1,84,84.1,manchester
383,89781,-2.217768,53.476686,8,1,84,84.1,manchester
384,89782,-2.2177580000000003,53.47658199999999,9,1,84,84.1,manchester
385,89783,-2.219008,53.478169,1,1,85,85.1,manchester
386,89784,-2.218651,53.478113,2,1,85,85.1,manchester
387,89785,-2.21825,53.477939,3,1,85,85.1,manchester
388,89786,-2.2180880000000003,53.47776500000001,4,1,85,85.1,manchester
389,89787,-2.21794,53.47744599999999,5,1,85,85.1,manchester
390,89788,-2.217849,53.476999,6,1,85,85.1,manchester
391,89789,-2.217827,53.476579,7,1,85,85.1,manchester
392,89790,-2.218082,53.476244,1,1,86,86.1,manchester
393,89791,-2.21797,53.476386,2,1,86,86.1,manchester
394,89792,-2.217946,53.47658199999999,3,1,86,86.1,manchester
395,89793,-2.2180470000000003,53.477141,4,1,86,86.1,manchester
396,89794,-2.218195,53.47756999999999,5,1,86,86.1,manchester
397,89795,-2.21833,53.477812,6,1,86,86.1,manchester
398,89796,-2.218564,53.477941,7,1,86,86.1,manchester
399,89797,-2.218053,53.477151,1,1,87,87.1,manchester
400,89798,-2.218058,53.477359,2,1,87,87.1,manchester
401,89799,-2.21807,53.477558,3,1,87,87.1,manchester
402,89800,-2.218259,53.47787,4,1,87,87.1,manchester
403,89801,-2.218506,53.478003,5,1,87,87.1,manchester
404,89802,-2.218605,53.478067,6,1,87,87.1,manchester
405,89803,-2.218621,53.478179,7,1,87,87.1,manchester
406,89804,-2.21857,53.478239,8,1,87,87.1,manchester
407,89805,-2.21857,53.478239,1,1,88,88.1,manchester
408,89806,-2.218522,53.478271,2,1,88,88.1,manchester
409,89807,-2.217962,53.478646,3,1,88,88.1,manchester
410,89808,-2.217902,53.478621,1,1,89,89.1,manchester
411,89809,-2.217909,53.478614,2,1,89,89.1,manchester
412,89810,-2.218468,53.478202,3,1,89,89.1,manchester
413,89811,-2.217626,53.476305,1,1,90,90.1,manchester
414,89812,-2.217594,53.476238,2,1,90,90.1,manchester
415,89813,-2.217465,53.476019,3,1,90,90.1,manchester
416,89814,-2.216926,53.47550500000001,4,1,90,90.1,manchester
417,89815,-2.216871,53.475264,1,1,91,91.1,manchester
418,89816,-2.217083,53.475497,2,1,91,91.1,manchester
419,89817,-2.217318,53.475667,3,1,91,91.1,manchester
420,89818,-2.217628,53.475963,4,1,91,91.1,manchester
421,89819,-2.217767,53.47617,5,1,91,91.1,manchester
422,89820,-2.217827,53.476579,1,1,92,92.1,manchester
423,89821,-2.21783,53.476324,2,1,92,92.1,manchester
424,89822,-2.217975,53.47618000000001,3,1,92,92.1,manchester
425,89823,-2.218053,53.476153,4,1,92,92.1,manchester
426,89824,-2.21816,53.476108,5,1,92,92.1,manchester
427,89825,-2.217239,53.475364,1,1,93,93.1,manchester
428,89826,-2.216407,53.47532800000001,2,1,93,93.1,manchester
429,89827,-2.214416,53.475235,3,1,93,93.1,manchester
430,89828,-2.214043,53.47516,1,1,94,94.1,manchester
431,89829,-2.214421,53.475179,2,1,94,94.1,manchester
432,89830,-2.216111,53.475203,3,1,94,94.1,manchester
433,89831,-2.216392,53.475227,4,1,94,94.1,manchester
434,89832,-2.216392,53.475227,1,1,95,95.1,manchester
435,89833,-2.217109,53.475249,2,1,95,95.1,manchester
436,89834,-2.219071,53.475368,3,1,95,95.1,manchester
437,89835,-2.2191110000000003,53.475434,1,1,96,96.1,manchester
438,89836,-2.21904,53.47543100000001,2,1,96,96.1,manchester
439,89837,-2.217239,53.475364,3,1,96,96.1,manchester
440,89838,-2.215747,53.471024,1,1,97,97.1,manchester
441,89839,-2.215796,53.471387,2,1,97,97.1,manchester
442,89840,-2.215871,53.471603,3,1,97,97.1,manchester
443,89841,-2.216087,53.472007,4,1,97,97.1,manchester
444,89842,-2.216245,53.47251800000001,5,1,97,97.1,manchester
445,89843,-2.216308,53.47286500000001,6,1,97,97.1,manchester
446,89844,-2.216435,53.473907,7,1,97,97.1,manchester
447,89845,-2.216528,53.474344,8,1,97,97.1,manchester
448,89846,-2.2167,53.475051,9,1,97,97.1,manchester
