agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
5,1442,1445,0,1629.76,0000:00,5,0,0,"LINESTRING (-2.2545396 53.4863472, -2.2543477 53.4864347, -2.2537993 53.4867429, -2.2536785 53.486818)"
5,1445,1446,0,1634.83,0000:00,5,0,0,"LINESTRING (-2.2536785 53.486818, -2.2536332 53.4868548)"
5,1446,1444,0,1647.58,0000:00,5,0,0,"LINESTRING (-2.2536332 53.4868548, -2.2534868 53.4867803)"
5,1444,1443,0,1686.15,0000:00,5,0,0,"LINESTRING (-2.2534868 53.4867803, -2.2533621 53.4867198, -2.2531689 53.486614, -2.2530986 53.4865288)"
6,1446,1448,0,40.30,0000:00,0,0,0,"LINESTRING (-2.2536332 53.4868548, -2.2534233 53.4869519, -2.2531652 53.4870865)"
6,1448,37,0,210.48,0000:00,1,0,0,"LINESTRING (-2.2531652 53.4870865, -2.252674 53.4873398, -2.2519637 53.4876512, -2.2512866 53.4879058, -2.2512651 53.4879124, -2.2510723 53.4879688)"
7,1012,1444,0,205.76,0000:00,0,0,0,"LINESTRING (-2.2510093 53.4878898, -2.2511952 53.4878306, -2.2516335 53.4876791, -2.2519776 53.4875227, -2.2522155 53.4874145, -2.2527677 53.4871466, -2.253299 53.4868887, -2.2534868 53.4867803)"
8,1012,1444,0,205.76,0000:00,0,0,0,"LINESTRING (-2.2510093 53.4878898, -2.2511952 53.4878306, -2.2516335 53.4876791, -2.2519776 53.4875227, -2.2522155 53.4874145, -2.2527677 53.4871466, -2.253299 53.4868887, -2.2534868 53.4867803)"
8,1444,36,0,211.06,0000:00,2,0,0,"LINESTRING (-2.2534868 53.4867803, -2.2535484 53.4867498)"
9,998,1286,0,94.54,0000:00,0,0,0,"LINESTRING (-2.257352 53.4859608, -2.2573996 53.4857686, -2.2574133 53.4857096, -2.2575693 53.4851205)"
9,1286,254,0,142.28,0000:00,0,0,0,"LINESTRING (-2.2575693 53.4851205, -2.2576623 53.4846947)"
9,254,1686,0,245.37,0000:00,0,0,0,"LINESTRING (-2.2576623 53.4846947, -2.2578773 53.4837765)"
9,1686,1170,0,291.38,0000:00,0,0,0,"LINESTRING (-2.2578773 53.4837765, -2.257991 53.4833683)"
9,1170,35,0,322.47,0000:00,0,0,0,"LINESTRING (-2.257991 53.4833683, -2.2577244 53.4833706, -2.2575211 53.4833713)"
9,35,34,0,370.35,0000:00,0,0,0,"LINESTRING (-2.2575211 53.4833713, -2.2574134 53.4835764, -2.2572973 53.4837807)"
9,34,1442,0,710.87,0000:00,0,0,0,"LINESTRING (-2.2572973 53.4837807, -2.2570107 53.4841884, -2.2565548 53.4847053, -2.2563378 53.4849201, -2.2555485 53.4856097, -2.2551165 53.4859557, -2.2550623 53.4859925, -2.2545396 53.4863472)"
9,1442,1445,0,788.33,0000:00,3,0,0,"LINESTRING (-2.2545396 53.4863472, -2.2543477 53.4864347, -2.2537993 53.4867429, -2.2536785 53.486818)"
10,1000,998,0,9.42,0000:00,0,0,0,"LINESTRING (-2.2573344 53.4860449, -2.257352 53.4859608)"
10,998,1286,0,103.96,0000:00,0,0,0,"LINESTRING (-2.257352 53.4859608, -2.2573996 53.4857686, -2.2574133 53.4857096, -2.2575693 53.4851205)"
10,1286,254,0,151.71,0000:00,0,0,0,"LINESTRING (-2.2575693 53.4851205, -2.2576623 53.4846947)"
10,254,1686,0,254.79,0000:00,0,0,0,"LINESTRING (-2.2576623 53.4846947, -2.2578773 53.4837765)"
10,1686,1170,0,300.80,0000:00,0,0,0,"LINESTRING (-2.2578773 53.4837765, -2.257991 53.4833683)"
10,1170,35,0,331.90,0000:00,0,0,0,"LINESTRING (-2.257991 53.4833683, -2.2577244 53.4833706, -2.2575211 53.4833713)"
10,35,34,0,379.77,0000:00,0,0,0,"LINESTRING (-2.2575211 53.4833713, -2.2574134 53.4835764, -2.2572973 53.4837807)"
10,34,1442,0,720.29,0000:00,0,0,0,"LINESTRING (-2.2572973 53.4837807, -2.2570107 53.4841884, -2.2565548 53.4847053, -2.2563378 53.4849201, -2.2555485 53.4856097, -2.2551165 53.4859557, -2.2550623 53.4859925, -2.2545396 53.4863472)"
10,1442,1445,0,797.75,0000:00,0,0,0,"LINESTRING (-2.2545396 53.4863472, -2.2543477 53.4864347, -2.2537993 53.4867429, -2.2536785 53.486818)"
10,1445,1446,0,802.83,0000:00,2,0,0,"LINESTRING (-2.2536785 53.486818, -2.2536332 53.4868548)"
11,36,1440,0,456.71,0000:00,0,0,0,"LINESTRING (-2.2535484 53.4867498, -2.253695 53.4866656, -2.2539713 53.4865068, -2.2547358 53.4860721, -2.2551018 53.4858292, -2.2556275 53.4854153, -2.2560501 53.4850482, -2.2563674 53.4847248, -2.25673 53.4843188, -2.2571199 53.483744, -2.2572506 53.4835077, -2.257318 53.4833784)"
11,1440,1441,0,507.91,0000:00,3,0,0,"LINESTRING (-2.257318 53.4833784, -2.2570557 53.4833862, -2.2569101 53.4833982, -2.2565459 53.4834017)"
11,1441,2952,0,584.73,0000:00,3,0,0,"LINESTRING (-2.2565459 53.4834017, -2.2560897 53.483443, -2.2553932 53.4834818)"
11,2952,299,0,603.89,0000:00,3,0,0,"LINESTRING (-2.2553932 53.4834818, -2.2553458 53.4834838, -2.2551049 53.4834979)"
11,299,1691,0,717.44,0000:00,3,0,0,"LINESTRING (-2.2551049 53.4834979, -2.25522 53.4835981, -2.2556899 53.4840496, -2.2560398 53.4843539)"
11,1691,1282,0,745.40,0000:00,3,0,0,"LINESTRING (-2.2560398 53.4843539, -2.25612 53.4844227, -2.2562899 53.4845565)"
12,1755,1014,0,36.06,0000:00,2,0,0,"LINESTRING (-2.2511586 53.4892027, -2.2511694 53.4888785)"
12,1014,37,0,138.62,0000:00,2,0,0,"LINESTRING (-2.2511694 53.4888785, -2.2512019 53.4885579, -2.2511971 53.4882457, -2.2511741 53.488132, -2.2511196 53.4880288, -2.2510723 53.4879688)"
13,37,1451,0,124.71,0000:00,0,0,0,"LINESTRING (-2.2510723 53.4879688, -2.2508545 53.4880357, -2.2507923 53.4880541, -2.2501484 53.4881851, -2.2494215 53.4882493, -2.2492675 53.4882598)"
13,1451,1452,0,220.58,0000:00,4,0,0,"LINESTRING (-2.2492675 53.4882598, -2.2478202 53.4883024)"
13,1452,1453,0,282.95,0000:00,5,0,0,"LINESTRING (-2.2478202 53.4883024, -2.247655 53.4883083, -2.2472789 53.4883217, -2.2468822 53.4883541)"
13,1453,2481,0,349.55,0000:00,6,0,0,"LINESTRING (-2.2468822 53.4883541, -2.2464772 53.4884022, -2.2462304 53.4884398, -2.2459074 53.4885009)"
14,1636,1008,0,10.93,0000:00,2,0,0,"LINESTRING (-2.246671 53.4882969, -2.2468341 53.4882813)"
14,1008,1007,0,63.21,0000:00,2,0,0,"LINESTRING (-2.2468341 53.4882813, -2.247021 53.4881599, -2.247379 53.4879409)"
