,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode,detectors,detid,detectors_length,pos,fclass,road,limit,detectors_citycode,lanes,detectors_long,detectors_lat
101,89499,-2.246591,53.489482,3,1,15,15.1,manchester,15330.0,N36121V,0.4566121720387461,0.0,trunk,Great Ducie Street,48.0,manchester,2.0,-2.24893,53.492221
102,89500,-2.246795,53.489763,4,1,15,15.1,manchester,15330.0,N36121V,0.4566121720387461,0.0,trunk,Great Ducie Street,48.0,manchester,2.0,-2.24893,53.492221
103,89501,-2.247367,53.490586,5,1,15,15.1,manchester,15330.0,N36121V,0.4566121720387461,0.0,trunk,Great Ducie Street,48.0,manchester,2.0,-2.24893,53.492221
104,89502,-2.247739,53.490956,6,1,15,15.1,manchester,15330.0,N36121V,0.4566121720387461,0.0,trunk,Great Ducie Street,48.0,manchester,2.0,-2.24893,53.492221
105,89503,-2.248873,53.49216,7,1,15,15.1,manchester,15330.0,N36121V,0.4566121720387461,0.0,trunk,Great Ducie Street,48.0,manchester,2.0,-2.24893,53.492221
106,89504,-2.24893,53.492221,8,1,15,15.1,manchester,15330.0,N36121V,0.4566121720387461,0.0,trunk,Great Ducie Street,48.0,manchester,2.0,-2.24893,53.492221
107,89505,-2.245602,53.488521,1,1,16,16.1,manchester,15279.0,N06341S,0.143162423865238,0.132504431801843,trunk,New Bridge Street,48.0,manchester,2.0,-2.245447,53.488546
108,89506,-2.245447,53.488546,2,1,16,16.1,manchester,15279.0,N06341S,0.143162423865238,0.132504431801843,trunk,New Bridge Street,48.0,manchester,2.0,-2.245447,53.488546
109,89507,-2.244089,53.488872,3,1,16,16.1,manchester,15279.0,N06341S,0.143162423865238,0.132504431801843,trunk,New Bridge Street,48.0,manchester,2.0,-2.245447,53.488546
110,89508,-2.243612,53.489013,4,1,16,16.1,manchester,15279.0,N06341S,0.143162423865238,0.132504431801843,trunk,New Bridge Street,48.0,manchester,2.0,-2.245447,53.488546
