link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,parent_link_id,length,grade,facility_type,capacity,free_speed,lanes
100000441,89951,,2,100000554,100000555,,,"LINESTRING (-2.255979 53.485063,-2.256314 53.48475500000001)",,,,,,,,
100000442,89953,Trinity Way,1,100000555,100000557,,,"LINESTRING (-2.256314 53.48475500000001,-2.256444 53.484638)",,,,trunk,,,48.0,3.0
100000443,89954,Trinity Way,2,100000557,100000558,,,"LINESTRING (-2.256444 53.484638,-2.257143 53.48376800000001)",,,,trunk,,,48.0,3.0
100000444,89955,Trinity Way,3,100000558,100000559,,,"LINESTRING (-2.257143 53.48376800000001,-2.2572240000000003 53.483562)",,,,trunk,,,48.0,3.0
100000445,89957,Trinity Way,1,100000560,100000561,,,"LINESTRING (-2.257406 53.483138,-2.257427 53.483114)",,,,trunk,,,48.0,3.0
100000446,89958,Trinity Way,2,100000561,100000562,,,"LINESTRING (-2.257427 53.483114,-2.257556 53.482852)",,,,trunk,,,48.0,3.0
100000447,89959,Trinity Way,3,100000562,100000563,,,"LINESTRING (-2.257556 53.482852,-2.257546 53.482584)",,,,trunk,,,48.0,3.0
100000448,89960,Trinity Way,4,100000563,100000564,,,"LINESTRING (-2.257546 53.482584,-2.2575 53.482432)",,,,trunk,,,48.0,3.0
100000449,89961,Trinity Way,5,100000564,100000565,,,"LINESTRING (-2.2575 53.482432,-2.257352 53.482236)",,,,trunk,,,48.0,3.0
100000450,89962,Trinity Way,6,100000565,100000566,,,"LINESTRING (-2.257352 53.482236,-2.256883 53.481837)",,,,trunk,,,48.0,3.0
100000451,89963,Trinity Way,7,100000566,100000567,,,"LINESTRING (-2.256883 53.481837,-2.256797 53.481751)",,,,trunk,,,48.0,3.0
100000452,89965,Trinity Way,1,100000568,100000569,,,"LINESTRING (-2.256934 53.481596,-2.257113 53.48178000000001)",,,,trunk,,,48.0,3.0
100000453,89966,Trinity Way,2,100000569,100000570,,,"LINESTRING (-2.257113 53.48178000000001,-2.257591 53.482191)",,,,trunk,,,48.0,3.0
100000454,89967,Trinity Way,3,100000570,100000571,,,"LINESTRING (-2.257591 53.482191,-2.257843 53.48250899999999)",,,,trunk,,,48.0,3.0
100000455,89968,Trinity Way,4,100000571,100000572,,,"LINESTRING (-2.257843 53.48250899999999,-2.257838 53.48278199999999)",,,,trunk,,,48.0,3.0
100000456,89969,Trinity Way,5,100000572,100000573,,,"LINESTRING (-2.257838 53.48278199999999,-2.257723 53.483002)",,,,trunk,,,48.0,3.0
100000457,89970,Trinity Way,6,100000573,100000574,,,"LINESTRING (-2.257723 53.483002,-2.257618 53.483165)",,,,trunk,,,48.0,3.0
100000458,89972,Trinity Way,1,100000575,100000576,,,"LINESTRING (-2.256544 53.48163100000001,-2.256159 53.481715)",,,,primary,,,48.0,1.0
100000459,89973,Trinity Way,2,100000576,100000577,,,"LINESTRING (-2.256159 53.481715,-2.255824 53.48184499999999)",,,,primary,,,48.0,1.0
100000460,89974,Trinity Way,3,100000577,100000578,,,"LINESTRING (-2.255824 53.48184499999999,-2.255878 53.481898)",,,,primary,,,48.0,1.0
100000461,89975,Trinity Way,4,100000578,100000579,,,"LINESTRING (-2.255878 53.481898,-2.255892 53.48190699999999)",,,,primary,,,48.0,1.0
100000462,89977,Chapel Street,1,100000580,100000581,,,"LINESTRING (-2.257146 53.48340400000001,-2.256824 53.483411)",,,,primary,,,48.0,1.0
100000463,89978,Chapel Street,2,100000581,100000582,,,"LINESTRING (-2.256824 53.483411,-2.256022 53.483465)",,,,primary,,,48.0,1.0
100000464,89979,Chapel Street,3,100000582,100000583,,,"LINESTRING (-2.256022 53.483465,-2.25538 53.483499)",,,,primary,,,48.0,1.0
100000465,89981,Chapel Street,1,100000584,100000585,,,"LINESTRING (-2.255172 53.483459,-2.255388 53.483448)",,,,primary,,,48.0,2.0
100000466,89982,Chapel Street,2,100000585,100000586,,,"LINESTRING (-2.255388 53.483448,-2.256328 53.483412)",,,,primary,,,48.0,2.0
100000467,89983,Chapel Street,3,100000586,100000587,,,"LINESTRING (-2.256328 53.483412,-2.257006 53.483344)",,,,primary,,,48.0,2.0
100000468,89985,New Bailey Street,1,100000588,100000589,,,"LINESTRING (-2.255199 53.48365500000001,-2.254835 53.483351)",,,,primary,,,48.0,1.0
100000469,89986,New Bailey Street,2,100000589,100000590,,,"LINESTRING (-2.254835 53.483351,-2.2541740000000003 53.482724)",,,,primary,,,48.0,1.0
100000470,89988,New Bailey Street,1,100000591,100000592,,,"LINESTRING (-2.254249 53.482696,-2.254298 53.482728)",,,,primary,,,48.0,1.0
100000471,89989,New Bailey Street,2,100000592,100000593,,,"LINESTRING (-2.254298 53.482728,-2.2548470000000003 53.483258)",,,,primary,,,48.0,1.0
100000472,89991,Chapel Street,1,100000594,100000595,,,"LINESTRING (-2.2525060000000003 53.484035,-2.252844 53.48393000000001)",,,,primary,,,48.0,1.0
100000473,89992,Chapel Street,2,100000595,100000596,,,"LINESTRING (-2.252844 53.48393000000001,-2.2530080000000003 53.48390799999999)",,,,primary,,,48.0,1.0
100000474,89993,Chapel Street,3,100000596,100000597,,,"LINESTRING (-2.2530080000000003 53.48390799999999,-2.254622 53.483553)",,,,primary,,,48.0,1.0
100000475,89995,New Bailey Street,1,100000598,100000599,,,"LINESTRING (-2.253973 53.482684,-2.253546 53.482836)",,,,primary,,,48.0,1.0
100000476,89996,New Bailey Street,2,100000599,100000600,,,"LINESTRING (-2.253546 53.482836,-2.253378 53.482888)",,,,primary,,,48.0,1.0
100000477,89997,New Bailey Street,3,100000600,100000601,,,"LINESTRING (-2.253378 53.482888,-2.252798 53.483064)",,,,primary,,,48.0,1.0
100000478,89998,New Bailey Street,4,100000601,100000602,,,"LINESTRING (-2.252798 53.483064,-2.252456 53.48317700000001)",,,,primary,,,48.0,1.0
100000479,90000,New Bailey Street,1,100000603,100000604,,,"LINESTRING (-2.254623 53.482299,-2.254512 53.48234300000001)",,,,primary,,,48.0,1.0
100000480,90001,New Bailey Street,2,100000604,100000605,,,"LINESTRING (-2.254512 53.48234300000001,-2.254182 53.482457)",,,,primary,,,48.0,1.0
100000481,90003,Chapel Street,1,100000606,100000607,,,"LINESTRING (-2.257712 53.483287,-2.257923 53.483288)",,,,trunk,,,48.0,2.0
100000482,90004,Chapel Street,2,100000607,100000608,,,"LINESTRING (-2.257923 53.483288,-2.258997 53.483294)",,,,trunk,,,48.0,2.0
100000483,90006,Chapel Street,1,100000609,100000610,,,"LINESTRING (-2.2589930000000003 53.483384,-2.258937 53.483388)",,,,trunk,,,32.0,2.0
100000484,90007,Chapel Street,2,100000610,100000611,,,"LINESTRING (-2.258937 53.483388,-2.257756 53.48339)",,,,trunk,,,32.0,2.0
100000485,90009,Chapel Street,1,100000608,100000613,,,"LINESTRING (-2.258997 53.483294,-2.259198 53.483305)",,,,trunk,,,32.0,2.0
100000486,90010,Chapel Street,2,100000613,100000614,,,"LINESTRING (-2.259198 53.483305,-2.260391 53.48331500000001)",,,,trunk,,,32.0,2.0
100000487,90011,Chapel Street,3,100000614,100000615,,,"LINESTRING (-2.260391 53.48331500000001,-2.261802 53.483277)",,,,trunk,,,32.0,2.0
100000488,90012,Chapel Street,4,100000615,100000616,,,"LINESTRING (-2.261802 53.483277,-2.262211 53.483288)",,,,trunk,,,32.0,2.0
100000489,90013,Chapel Street,5,100000616,100000617,,,"LINESTRING (-2.262211 53.483288,-2.262655 53.483288)",,,,trunk,,,32.0,2.0
100000490,90015,Chapel Street,1,100000618,100000619,,,"LINESTRING (-2.262655 53.48332900000001,-2.262587 53.483328)",,,,trunk,,,32.0,2.0
100000491,90016,Chapel Street,2,100000619,100000620,,,"LINESTRING (-2.262587 53.483328,-2.26212 53.48334499999999)",,,,trunk,,,32.0,2.0
100000492,90017,Chapel Street,3,100000620,100000621,,,"LINESTRING (-2.26212 53.48334499999999,-2.261632 53.48335400000001)",,,,trunk,,,32.0,2.0
100000493,90018,Chapel Street,4,100000621,100000622,,,"LINESTRING (-2.261632 53.48335400000001,-2.260847 53.483364)",,,,trunk,,,32.0,2.0
100000494,90019,Chapel Street,5,100000622,100000623,,,"LINESTRING (-2.260847 53.483364,-2.259147 53.483376)",,,,trunk,,,32.0,2.0
100000495,90020,Chapel Street,6,100000623,100000609,,,"LINESTRING (-2.259147 53.483376,-2.2589930000000003 53.483384)",,,,trunk,,,32.0,2.0
100000496,90022,St Philip's Place,1,100000625,100000626,,,"LINESTRING (-2.262988 53.483753,-2.262977 53.48361800000001)",,,,other,,,0.0,2.0
100000497,90023,St Philip's Place,2,100000626,100000627,,,"LINESTRING (-2.262977 53.48361800000001,-2.262976 53.48343199999999)",,,,other,,,0.0,2.0
100000498,90025,Chapel Street,1,100000628,100000629,,,"LINESTRING (-2.264268 53.483305,-2.264217 53.483308)",,,,trunk,,,32.0,2.0
100000499,90026,Chapel Street,2,100000629,100000630,,,"LINESTRING (-2.264217 53.483308,-2.263229 53.48331500000001)",,,,trunk,,,32.0,2.0
100000500,90027,Chapel Street,3,100000630,100000618,,,"LINESTRING (-2.263229 53.48331500000001,-2.262655 53.48332900000001)",,,,trunk,,,32.0,2.0
100000501,90029,Chapel Street,1,100000617,100000633,,,"LINESTRING (-2.262655 53.483288,-2.26305 53.483252)",,,,trunk,,,32.0,2.0
100000502,90030,Chapel Street,2,100000633,100000634,,,"LINESTRING (-2.26305 53.483252,-2.263277 53.483238)",,,,trunk,,,32.0,2.0
100000503,90031,Chapel Street,3,100000634,100000635,,,"LINESTRING (-2.263277 53.483238,-2.264022 53.483227)",,,,trunk,,,32.0,2.0
100000504,90033,Crescent,1,100000635,100000637,,,"LINESTRING (-2.264022 53.483227,-2.265014 53.483214)",,,,trunk,,,32.0,2.0
100000505,90034,Crescent,2,100000637,100000638,,,"LINESTRING (-2.265014 53.483214,-2.2651830000000004 53.48321)",,,,trunk,,,32.0,2.0
100000506,90035,Crescent,3,100000638,100000639,,,"LINESTRING (-2.2651830000000004 53.48321,-2.265906 53.48321)",,,,trunk,,,32.0,2.0
100000507,90036,Crescent,4,100000639,100000640,,,"LINESTRING (-2.265906 53.48321,-2.267016 53.48309)",,,,trunk,,,32.0,2.0
100000508,90037,Crescent,5,100000640,100000641,,,"LINESTRING (-2.267016 53.48309,-2.2676830000000003 53.483074)",,,,trunk,,,32.0,2.0
100000509,90038,Crescent,6,100000641,100000642,,,"LINESTRING (-2.2676830000000003 53.483074,-2.268317 53.483099)",,,,trunk,,,32.0,2.0
100000510,90039,Crescent,7,100000642,100000643,,,"LINESTRING (-2.268317 53.483099,-2.269237 53.483285)",,,,trunk,,,32.0,2.0
100000511,90040,Crescent,8,100000643,100000644,,,"LINESTRING (-2.269237 53.483285,-2.27008 53.483614)",,,,trunk,,,32.0,2.0
100000512,90041,Crescent,9,100000644,100000645,,,"LINESTRING (-2.27008 53.483614,-2.270454 53.48374499999999)",,,,trunk,,,32.0,2.0
100000513,90043,Adelphi Street,1,100000646,100000647,,,"LINESTRING (-2.264686 53.485564,-2.264717 53.48465699999999)",,,,primary,,,48.0,1.0
100000514,90044,Adelphi Street,2,100000647,100000648,,,"LINESTRING (-2.264717 53.48465699999999,-2.264734 53.484201)",,,,primary,,,48.0,1.0
100000515,90045,Adelphi Street,3,100000648,100000649,,,"LINESTRING (-2.264734 53.484201,-2.264774 53.483507)",,,,primary,,,48.0,1.0
100000516,90047,Oldfield Road,1,100000650,100000651,,,"LINESTRING (-2.264334 53.483226,-2.264367 53.482998)",,,,primary,,,48.0,1.0
100000517,90048,Oldfield Road,2,100000651,100000652,,,"LINESTRING (-2.264367 53.482998,-2.264374 53.482629)",,,,primary,,,48.0,1.0
100000518,90049,Oldfield Road,3,100000652,100000653,,,"LINESTRING (-2.264374 53.482629,-2.264482 53.48235699999999)",,,,primary,,,48.0,1.0
100000519,90050,Oldfield Road,4,100000653,100000654,,,"LINESTRING (-2.264482 53.48235699999999,-2.265184 53.48113000000001)",,,,primary,,,48.0,1.0
100000520,90051,Oldfield Road,5,100000654,100000655,,,"LINESTRING (-2.265184 53.48113000000001,-2.26545 53.480763)",,,,primary,,,48.0,1.0
100000521,90052,Oldfield Road,6,100000655,100000656,,,"LINESTRING (-2.26545 53.480763,-2.266593 53.479812)",,,,primary,,,48.0,1.0
100000522,90054,Oldfield Road,1,100000657,100000658,,,"LINESTRING (-2.267176 53.479436,-2.266534 53.479944)",,,,primary,,,48.0,1.0
100000523,90055,Oldfield Road,2,100000658,100000659,,,"LINESTRING (-2.266534 53.479944,-2.265533 53.480836)",,,,primary,,,48.0,1.0
100000524,90056,Oldfield Road,3,100000659,100000660,,,"LINESTRING (-2.265533 53.480836,-2.264991 53.48163100000001)",,,,primary,,,48.0,1.0
100000525,90057,Oldfield Road,4,100000660,100000661,,,"LINESTRING (-2.264991 53.48163100000001,-2.264554 53.482437)",,,,primary,,,48.0,1.0
100000526,90058,Oldfield Road,5,100000661,100000662,,,"LINESTRING (-2.264554 53.482437,-2.264517 53.48271800000001)",,,,primary,,,48.0,1.0
100000527,90059,Oldfield Road,6,100000662,100000663,,,"LINESTRING (-2.264517 53.48271800000001,-2.264492 53.48305)",,,,primary,,,48.0,1.0
100000528,90061,Oldfield Road,1,100000664,100000665,,,"LINESTRING (-2.264517 53.482629,-2.264455 53.482673)",,,,primary,,,48.0,1.0
100000529,90062,Oldfield Road,2,100000665,100000666,,,"LINESTRING (-2.264455 53.482673,-2.264457 53.48271800000001)",,,,primary,,,48.0,1.0
100000530,90063,Oldfield Road,3,100000666,100000667,,,"LINESTRING (-2.264457 53.48271800000001,-2.264442 53.48305)",,,,primary,,,48.0,1.0
100000531,90065,Liverpool Street,1,100000668,100000669,,,"LINESTRING (-2.271179 53.48036,-2.2694330000000003 53.480065)",,,,tertiary,,,0.0,2.0
100000532,90066,Liverpool Street,2,100000669,100000670,,,"LINESTRING (-2.2694330000000003 53.480065,-2.268987 53.47999100000001)",,,,tertiary,,,0.0,2.0
100000533,90067,Liverpool Street,3,100000670,100000671,,,"LINESTRING (-2.268987 53.47999100000001,-2.267786 53.479797)",,,,tertiary,,,0.0,2.0
100000534,90068,Liverpool Street,4,100000671,100000672,,,"LINESTRING (-2.267786 53.479797,-2.267278 53.479711)",,,,tertiary,,,0.0,2.0
100000535,90070,Middlewood Street,1,100000672,100000674,,,"LINESTRING (-2.267278 53.479711,-2.266767 53.479575)",,,,tertiary,,,0.0,2.0
