,link_id,from_node_id,to_node_id,lanes,length,time_period,date,geometry,volume,speed
0,2465.0,476.0,1373.0,,44.0,2310_2325,2017-09-29,"LINESTRING (-2.2434127 53.4890605, -2.2436752 53.4894247)",0.0,0.0
1,2465.0,476.0,1373.0,,44.0,2325_2340,2017-09-29,"LINESTRING (-2.2434127 53.4890605, -2.2436752 53.4894247)",0.0,0.0
0,605.0,1373.0,475.0,,106.0,2310_2325,2017-09-29,"LINESTRING (-2.2436752 53.4894247, -2.2438747 53.4896696, -2.2441021 53.4899189, -2.2444196 53.4902671)",0.0,0.0
1,605.0,1373.0,475.0,,106.0,2325_2340,2017-09-29,"LINESTRING (-2.2436752 53.4894247, -2.2438747 53.4896696, -2.2441021 53.4899189, -2.2444196 53.4902671)",0.0,0.0
0,603.0,475.0,330.0,,117.0,2310_2325,2017-09-29,"LINESTRING (-2.2444196 53.4902671, -2.2452648 53.4911937)",0.0,0.0
1,603.0,475.0,330.0,,117.0,2325_2340,2017-09-29,"LINESTRING (-2.2444196 53.4902671, -2.2452648 53.4911937)",0.0,0.0
0,3872.0,330.0,2116.0,,44.0,2310_2325,2017-09-29,"LINESTRING (-2.2452648 53.4911937, -2.2458598 53.4910221)",0.0,0.0
1,3872.0,330.0,2116.0,,44.0,2325_2340,2017-09-29,"LINESTRING (-2.2452648 53.4911937, -2.2458598 53.4910221)",0.0,0.0
0,3874.0,2116.0,1929.0,,33.0,2310_2325,2017-09-29,"LINESTRING (-2.2458598 53.4910221, -2.2463046 53.4908931)",0.0,0.0
1,3874.0,2116.0,1929.0,,33.0,2325_2340,2017-09-29,"LINESTRING (-2.2458598 53.4910221, -2.2463046 53.4908931)",0.0,0.0
0,3876.0,1929.0,326.0,,27.0,2310_2325,2017-09-29,"LINESTRING (-2.2463046 53.4908931, -2.2466698 53.4907874)",0.0,0.0
1,3876.0,1929.0,326.0,,27.0,2325_2340,2017-09-29,"LINESTRING (-2.2463046 53.4908931, -2.2466698 53.4907874)",0.0,0.0
0,3878.0,326.0,1918.0,,50.0,2310_2325,2017-09-29,"LINESTRING (-2.2466698 53.4907874, -2.2473539 53.4905897)",0.0,0.0
1,3878.0,326.0,1918.0,,50.0,2325_2340,2017-09-29,"LINESTRING (-2.2466698 53.4907874, -2.2473539 53.4905897)",0.0,0.0
0,3880.0,1918.0,501.0,,131.0,2310_2325,2017-09-29,"LINESTRING (-2.2473539 53.4905897, -2.2491313 53.4900758)",0.0,0.0
1,3880.0,1918.0,501.0,,131.0,2325_2340,2017-09-29,"LINESTRING (-2.2473539 53.4905897, -2.2491313 53.4900758)",0.0,0.0
0,657.0,501.0,506.0,,151.0,2310_2325,2017-09-29,"LINESTRING (-2.2491313 53.4900758, -2.2496892 53.4907192, -2.2498437 53.4909031, -2.2500126 53.4913183)",0.0,0.0
1,657.0,501.0,506.0,,151.0,2325_2340,2017-09-29,"LINESTRING (-2.2491313 53.4900758, -2.2496892 53.4907192, -2.2498437 53.4909031, -2.2500126 53.4913183)",0.0,0.0
0,659.0,506.0,502.0,,80.0,2310_2325,2017-09-29,"LINESTRING (-2.2500126 53.4913183, -2.2503071 53.4920158)",0.0,0.0
1,659.0,506.0,502.0,,80.0,2325_2340,2017-09-29,"LINESTRING (-2.2500126 53.4913183, -2.2503071 53.4920158)",0.0,0.0
0,2025.0,502.0,512.0,,19.0,2310_2325,2017-09-29,"LINESTRING (-2.2503071 53.4920158, -2.2505647 53.4919438)",0.0,0.0
1,2025.0,502.0,512.0,,19.0,2325_2340,2017-09-29,"LINESTRING (-2.2503071 53.4920158, -2.2505647 53.4919438)",0.0,0.0
0,2027.0,512.0,509.0,,78.0,2310_2325,2017-09-29,"LINESTRING (-2.2505647 53.4919438, -2.2508645 53.4918407, -2.2510495 53.4917794, -2.251611 53.4916146)",0.0,0.0
1,2027.0,512.0,509.0,,78.0,2325_2340,2017-09-29,"LINESTRING (-2.2505647 53.4919438, -2.2508645 53.4918407, -2.2510495 53.4917794, -2.251611 53.4916146)",0.0,0.0
0,2029.0,509.0,1027.0,,54.0,2310_2325,2017-09-29,"LINESTRING (-2.251611 53.4916146, -2.2520689 53.4914958, -2.2522094 53.4914723, -2.2523023 53.4914723, -2.2523853 53.4914814)",0.0,0.0
1,2029.0,509.0,1027.0,,54.0,2325_2340,2017-09-29,"LINESTRING (-2.251611 53.4916146, -2.2520689 53.4914958, -2.2522094 53.4914723, -2.2523023 53.4914723, -2.2523853 53.4914814)",0.0,0.0
0,675.0,1027.0,510.0,,128.0,2310_2325,2017-09-29,"LINESTRING (-2.2523853 53.4914814, -2.2525474 53.4915618, -2.2528221 53.4918478, -2.2530277 53.4919144, -2.2533833 53.4920295, -2.2534057 53.4920367, -2.253905 53.4920578)",0.0,0.0
1,675.0,1027.0,510.0,,128.0,2325_2340,2017-09-29,"LINESTRING (-2.2523853 53.4914814, -2.2525474 53.4915618, -2.2528221 53.4918478, -2.2530277 53.4919144, -2.2533833 53.4920295, -2.2534057 53.4920367, -2.253905 53.4920578)",0.0,0.0
0,677.0,510.0,2011.0,,47.0,2310_2325,2017-09-29,"LINESTRING (-2.253905 53.4920578, -2.2546146 53.4920948)",0.0,0.0
1,677.0,510.0,2011.0,,47.0,2325_2340,2017-09-29,"LINESTRING (-2.253905 53.4920578, -2.2546146 53.4920948)",0.0,0.0
0,679.0,2011.0,511.0,,74.0,2310_2325,2017-09-29,"LINESTRING (-2.2546146 53.4920948, -2.2557382 53.492139)",0.0,0.0
1,679.0,2011.0,511.0,,74.0,2325_2340,2017-09-29,"LINESTRING (-2.2546146 53.4920948, -2.2557382 53.492139)",0.0,0.0
0,4532.0,511.0,1986.0,,236.0,2310_2325,2017-09-29,"LINESTRING (-2.2557382 53.492139, -2.2557809 53.4915245, -2.255856 53.4914351, -2.256092 53.4913777, -2.2582065 53.4914161)",0.0,0.0
1,4532.0,511.0,1986.0,,236.0,2325_2340,2017-09-29,"LINESTRING (-2.2557382 53.492139, -2.2557809 53.4915245, -2.255856 53.4914351, -2.256092 53.4913777, -2.2582065 53.4914161)",0.0,0.0
0,4530.0,1986.0,2128.0,,21.0,2310_2325,2017-09-29,"LINESTRING (-2.2582065 53.4914161, -2.2585286 53.4914219)",0.0,0.0
1,4530.0,1986.0,2128.0,,21.0,2325_2340,2017-09-29,"LINESTRING (-2.2582065 53.4914161, -2.2585286 53.4914219)",0.0,0.0
0,597.0,2128.0,1970.0,,66.0,2310_2325,2017-09-29,"LINESTRING (-2.2585286 53.4914219, -2.2592095 53.4914343, -2.2595188 53.4914399)",0.0,0.0
1,597.0,2128.0,1970.0,,66.0,2325_2340,2017-09-29,"LINESTRING (-2.2585286 53.4914219, -2.2592095 53.4914343, -2.2595188 53.4914399)",0.0,0.0
0,2482.0,1970.0,2130.0,,47.0,2310_2325,2017-09-29,"LINESTRING (-2.2595188 53.4914399, -2.259536 53.4911415, -2.2595405 53.4910175)",0.0,0.0
1,2482.0,1970.0,2130.0,,47.0,2325_2340,2017-09-29,"LINESTRING (-2.2595188 53.4914399, -2.259536 53.4911415, -2.2595405 53.4910175)",0.0,0.0
0,2480.0,2130.0,1968.0,,19.0,2310_2325,2017-09-29,"LINESTRING (-2.2595405 53.4910175, -2.2595468 53.4908459)",0.0,0.0
1,2480.0,2130.0,1968.0,,19.0,2325_2340,2017-09-29,"LINESTRING (-2.2595405 53.4910175, -2.2595468 53.4908459)",0.0,0.0
0,2593.0,1530.0,1499.0,,152.0,2310_2325,2017-09-29,"LINESTRING (-2.2571402 53.488779, -2.2575619 53.4889785, -2.2578129 53.4891093, -2.2584619 53.4894705, -2.2588494 53.4896953)",66.0,35.0
1,2593.0,1530.0,1499.0,,152.0,2325_2340,2017-09-29,"LINESTRING (-2.2571402 53.488779, -2.2575619 53.4889785, -2.2578129 53.4891093, -2.2584619 53.4894705, -2.2588494 53.4896953)",12.0,53.0
0,2574.0,1445.0,1447.0,,28.0,2310_2325,2017-09-29,"LINESTRING (-2.2536785 53.486818, -2.2537935 53.4868823, -2.2539881 53.4869912)",1146.0,29.0
1,2574.0,1445.0,1447.0,,28.0,2325_2340,2017-09-29,"LINESTRING (-2.2536785 53.486818, -2.2537935 53.4868823, -2.2539881 53.4869912)",1272.0,27.0
0,2575.0,1447.0,1724.0,,21.0,2310_2325,2017-09-29,"LINESTRING (-2.2539881 53.4869912, -2.2542176 53.4871181)",1146.0,29.0
1,2575.0,1447.0,1724.0,,21.0,2325_2340,2017-09-29,"LINESTRING (-2.2539881 53.4869912, -2.2542176 53.4871181)",1272.0,27.0
