link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000141,115-04137,AZ-101-LOOP_CLOCKWISE,35.0,100000028,100000044,1,,"LINESTRING (-112.18051000000001 33.66826,-112.1766 33.668279999999996)",1,0.22480300000000003,,,,,
100000142,115-04136,AZ-101-LOOP_CLOCKWISE,33.0,100000105,100000027,1,,"LINESTRING (-112.19649 33.66815,-112.19323 33.66819)",1,0.18746,,,,,
100000143,115-04378,AZ-101-LOOP_CLOCKWISE,53.0,100000106,100000025,1,,"LINESTRING (-111.98856 33.6728,-111.98383999999999 33.67283)",1,0.271362,,,,,
100000144,115-04379,AZ-101-LOOP_CLOCKWISE,55.0,100000026,100000042,1,,"LINESTRING (-111.97086999999999 33.67237,-111.96503999999999 33.67009)",1,0.371393,,,,,
100000145,115N04140,AZ-101-LOOP_CLOCKWISE,42.0,100000001,100000084,1,,"LINESTRING (-112.11639 33.66864,-112.09772 33.66952)",1,1.077861,,,,,
100000146,115+04140,AZ-101-LOOP_COUNTERCLOCKWISE,70.0,100000002,100000003,1,,"LINESTRING (-112.0943 33.66976,-112.1003 33.66944)",1,0.346227,,,,,
100000147,115+04380,AZ-101-LOOP_COUNTERCLOCKWISE,54.0,100000004,100000086,1,,"LINESTRING (-111.91411000000001 33.65597,-111.919 33.65699)",1,0.289879,,,,,
100000148,115P05163,AZ-101-LOOP_COUNTERCLOCKWISE,61.0,100000005,100000006,1,,"LINESTRING (-111.98857 33.67302,-112.00941999999999 33.67293)",1,1.20979,,,,,
100000149,115P05164,AZ-101-LOOP_COUNTERCLOCKWISE,53.0,100000007,100000004,1,,"LINESTRING (-111.9015 33.65314,-111.91411000000001 33.65597)",1,0.751632,,,,,
100000150,115N04380,AZ-101-LOOP_CLOCKWISE,58.0,100000008,100000009,1,,"LINESTRING (-111.93121000000001 33.65932,-111.91911999999999 33.65682)",1,0.7163010000000001,,,,,
100000151,115+04136,AZ-101-LOOP_COUNTERCLOCKWISE,78.0,100000011,100000012,1,,"LINESTRING (-112.1766 33.66845,-112.18048 33.668440000000004)",1,0.223073,,,,,
100000152,115N04374,AZ-101-LOOP_CLOCKWISE,44.0,100000010,100000087,1,,"LINESTRING (-112.09523999999999 33.66959,-112.09151000000001 33.66939)",1,0.21506599999999998,,,,,
100000153,115+04378,AZ-101-LOOP_COUNTERCLOCKWISE,58.0,100000013,100000056,1,,"LINESTRING (-111.96457 33.67013,-111.97089 33.67259)",1,0.402386,,,,,
100000154,115+04379,AZ-101-LOOP_COUNTERCLOCKWISE,56.0,100000017,100000064,1,,"LINESTRING (-111.93113999999998 33.65951,-111.95401000000001 33.66519)",1,1.376025,,,,,
100000155,115N04373,AZ-101-LOOP_CLOCKWISE,62.0,100000015,100000016,1,,"LINESTRING (-111.89787 33.6511,-111.89072 33.6413)",1,0.8105720000000001,,,,,
100000156,115+04137,AZ-101-LOOP_COUNTERCLOCKWISE,76.0,100000014,100000065,1,,"LINESTRING (-112.1401 33.669740000000004,-112.16288 33.669509999999995)",1,1.3099379999999998,,,,,
100000157,115N04372,AZ-101-LOOP_CLOCKWISE,64.0,100000020,100000021,1,,"LINESTRING (-111.89045 33.63808,-111.89056000000001 33.6296)",1,0.585847,,,,,
100000158,115+04134,AZ-101-LOOP_COUNTERCLOCKWISE,82.0,100000019,100000071,1,,"LINESTRING (-112.20983000000001 33.66778,-112.21383999999999 33.667790000000004)",1,0.230589,,,,,
100000159,115+04376,AZ-101-LOOP_COUNTERCLOCKWISE,64.0,100000018,100000073,1,,"LINESTRING (-112.03833 33.67009,-112.05912 33.66917)",1,1.204628,,,,,
100000160,115+04377,AZ-101-LOOP_COUNTERCLOCKWISE,62.0,100000006,100000059,1,,"LINESTRING (-112.00941999999999 33.67293,-112.02378999999999 33.67283)",1,0.8261809999999999,,,,,
100000161,115+04135,AZ-101-LOOP_COUNTERCLOCKWISE,80.0,100000023,100000024,1,,"LINESTRING (-112.19294 33.66837,-112.19671000000001 33.66832)",1,0.21679600000000002,,,,,
100000162,115N04136,AZ-101-LOOP_CLOCKWISE,34.0,100000027,100000028,1,,"LINESTRING (-112.19323 33.66819,-112.18051000000001 33.66826)",1,0.73161,,,,,
100000163,115N04378,AZ-101-LOOP_CLOCKWISE,54.0,100000025,100000026,1,,"LINESTRING (-111.98383999999999 33.67283,-111.97086999999999 33.67237)",1,0.7489020000000001,,,,,
