,_vatmc_code,measurement_tstamp,speed,reference_speed
409,110+05708,2015-04-01 00:30:00,45.0,45.0
410,110-05696,2015-04-01 00:30:00,40.0,29.0
411,110N05710,2015-04-01 00:30:00,49.0,49.0
412,110-05703,2015-04-01 00:30:00,52.37,50.0
413,110N05694,2015-04-01 00:35:00,38.2,30.0
414,110N05707,2015-04-01 00:35:00,50.0,50.0
415,110-05696,2015-04-01 00:35:00,38.5,29.0
416,110+05696,2015-04-01 00:35:00,32.0,32.0
417,110N05711,2015-04-01 00:35:00,44.0,44.0
418,110-05710,2015-04-01 00:35:00,44.0,44.0
419,110P05706,2015-04-01 00:35:00,48.0,48.0
420,110+05708,2015-04-01 00:35:00,45.0,45.0
421,110-05706,2015-04-01 00:35:00,48.0,48.0
422,110-05698,2015-04-01 00:35:00,44.37,30.0
423,110N05695,2015-04-01 00:35:00,39.1,33.0
424,110P05708,2015-04-01 00:35:00,43.0,43.0
425,110N05697,2015-04-01 00:35:00,41.88,32.0
426,110P05707,2015-04-01 00:35:00,45.0,45.0
427,110P05694,2015-04-01 00:35:00,43.0,31.0
428,110-05707,2015-04-01 00:35:00,50.0,50.0
429,110+05694,2015-04-01 00:35:00,44.2,31.0
430,110N05699,2015-04-01 00:35:00,51.0,36.0
431,110+05701,2015-04-01 00:35:00,42.0,42.0
432,110P05695,2015-04-01 00:35:00,43.0,35.0
433,110-05705,2015-04-01 00:35:00,52.0,50.0
434,110+05704,2015-04-01 00:35:00,50.0,50.0
435,110-05701,2015-04-01 00:35:00,52.6,47.0
436,110P05699,2015-04-01 00:35:00,39.0,36.0
437,110-05697,2015-04-01 00:35:00,40.89,30.0
438,110+05693,2015-04-01 00:35:00,46.0,31.0
439,110N05698,2015-04-01 00:35:00,44.37,30.0
440,110+05702,2015-04-01 00:35:00,47.0,47.0
441,110-05699,2015-04-01 00:35:00,52.0,40.0
442,110-05700,2015-04-01 00:35:00,53.6,43.0
443,110-05704,2015-04-01 00:35:00,55.0,50.0
444,110-05694,2015-04-01 00:35:00,38.52,31.0
445,110+05710,2015-04-01 00:35:00,48.0,48.0
446,110P05698,2015-04-01 00:35:00,35.0,35.0
447,110+05705,2015-04-01 00:35:00,48.0,48.0
448,110N05710,2015-04-01 00:35:00,49.0,49.0
449,110+05699,2015-04-01 00:35:00,27.0,35.0
450,110N05696,2015-04-01 00:35:00,30.38,25.0
451,110N05692,2015-04-01 00:35:00,33.0,33.0
452,110N05706,2015-04-01 00:35:00,41.0,41.0
453,110+05709,2015-04-01 00:35:00,47.0,47.0
454,110+05706,2015-04-01 00:35:00,48.0,48.0
455,110-05703,2015-04-01 00:35:00,53.0,50.0
456,110+05697,2015-04-01 00:35:00,36.0,36.0
457,110+05698,2015-04-01 00:35:00,35.0,35.0
458,110+05707,2015-04-01 00:35:00,48.0,48.0
459,110P05697,2015-04-01 00:35:00,35.0,35.0
460,110P05696,2015-04-01 00:35:00,31.0,31.0
461,110-05702,2015-04-01 00:35:00,51.0,48.0
462,110-05708,2015-04-01 00:35:00,48.0,48.0
463,110+05700,2015-04-01 00:35:00,40.0,40.0
464,110+05703,2015-04-01 00:35:00,48.0,48.0
465,110-05695,2015-04-01 00:35:00,30.02,31.0
466,110-05693,2015-04-01 00:35:00,30.0,30.0
467,110-05709,2015-04-01 00:35:00,48.0,48.0
468,110P05710,2015-04-01 00:35:00,49.0,49.0
469,110P05692,2015-04-01 00:35:00,29.0,29.0
470,110+05711,2015-04-01 00:35:00,41.0,41.0
471,110+05695,2015-04-01 00:35:00,43.0,31.0
472,110+05701,2015-04-01 00:40:00,42.0,42.0
473,110N05695,2015-04-01 00:40:00,33.0,33.0
474,110N05692,2015-04-01 00:40:00,36.12,33.0
475,110P05692,2015-04-01 00:40:00,29.0,29.0
476,110-05695,2015-04-01 00:40:00,22.19,31.0
477,110-05699,2015-04-01 00:40:00,52.0,40.0
478,110-05696,2015-04-01 00:40:00,41.39,29.0
479,110P05707,2015-04-01 00:40:00,45.0,45.0
480,110-05700,2015-04-01 00:40:00,53.6,43.0
481,110-05704,2015-04-01 00:40:00,54.49,50.0
482,110-05697,2015-04-01 00:40:00,44.59,30.0
483,110+05703,2015-04-01 00:40:00,48.0,48.0
484,110P05699,2015-04-01 00:40:00,39.0,36.0
485,110+05697,2015-04-01 00:40:00,36.0,36.0
486,110+05711,2015-04-01 00:40:00,41.0,41.0
487,110+05707,2015-04-01 00:40:00,48.0,48.0
488,110P05695,2015-04-01 00:40:00,43.0,35.0
489,110P05694,2015-04-01 00:40:00,43.0,31.0
490,110-05694,2015-04-01 00:40:00,31.0,31.0
491,110-05705,2015-04-01 00:40:00,52.6,50.0
492,110+05695,2015-04-01 00:40:00,43.0,31.0
493,110-05707,2015-04-01 00:40:00,50.0,50.0
494,110+05709,2015-04-01 00:40:00,47.0,47.0
